displacement_mm,force_kN
-13.7668,-270.6176996
-13.9954,-269.0457352
-13.7541,-258.177713
-13.2207,-241.3886674
-12.6873,-228.4171912
-12.1666,-214.9527896
-11.6459,-202.4770807
-11.0236,-187.3219087
-10.9601,-182.4327897
-10.4013,-169.5112723
-9.8933,-156.3327294
-9.3218,-143.8251674
-8.7503,-132.5192844
-8.1661,-120.3606644
-7.5946,-108.7928148
-7.0231,-97.18973204
-6.4643,-85.76725337
-5.9055,-76.30691385
-5.3467,-65.09208006
-4.7879,-55.35049844
-4.2037,-46.17273083
-3.8481,-37.53295195
-3.0099,-23.58870609
-2.4257,-12.27892441
-1.9177,-3.26550149
-1.4351,4.471405757
-0.889,14.02779704
-0.3429,23.95437243
0.2286,34.70465862
0.8763,43.46187551
1.4986,53.539979
1.9304,60.36585079
2.5654,71.82616879
3.1877,80.78421655
3.8354,90.47622634
4.4577,99.8912147
5.08,108.5829595
5.6896,117.8297212
6.3246,127.6922259
6.9342,136.7769696
7.5692,146.9216637
8.2296,156.6258374
8.8265,167.2576084
9.4107,175.9724446
9.9949,185.4038531
10.5156,194.8022612
11.0998,204.3264446
11.6713,213.3934472
12.2809,222.7413139
12.9032,231.7001844
13.5128,238.7346306
13.6779,238.7460029
13.5509,232.4972921
12.9794,216.5433313
12.4333,203.8865201
11.8491,191.1317661
11.2903,179.0640086
10.7315,167.7427595
10.1981,156.5965773
9.6266,145.7576062
9.0424,134.7226426
8.4455,123.222644
7.8232,112.1362051
7.1882,101.3460498
6.5913,90.61464588
5.9817,80.06075507
5.3721,69.98407655
4.7752,60.1900589
4.1656,49.45853049
3.5433,39.6679263
2.9464,28.47154429
2.3241,16.26098108
1.7653,6.616605791
1.2446,-3.325856422
0.7747,-11.06460925
0.2286,-21.45704959
-0.3937,-31.81027543
-0.9779,-41.44010294
-1.5748,-51.15820933
-2.2225,-60.84365461
-2.8321,-70.37143157
-3.4417,-80.73097553
-3.7973,-86.39610763
-4.6355,-100.0878876
-5.2324,-109.4263256
-5.8039,-117.9552474
-6.3754,-127.9624916
-6.9469,-138.0607938
-7.5438,-147.6800292
-8.1661,-157.4805046
-8.7503,-168.0462213
-9.3599,-177.1045913
-9.9314,-188.0094655
-10.4902,-198.7905079
-11.049,-207.6900622
-11.5951,-218.6507969
-12.1539,-227.9243681
-12.7254,-237.9245052
-13.2969,-247.3533564
-13.8938,-256.5649872
-13.9192,-255.8780131
-13.6906,-245.6982104
-13.1699,-233.2283054
-12.6365,-216.9045572
-12.0904,-204.8404288
-11.5443,-193.5349594
-11.0109,-181.4688519
-10.4775,-169.9626001
-9.9187,-158.2651459
-9.3472,-146.4116111
-8.7376,-135.5703851
-8.1661,-124.9309777
-7.5946,-112.5763431
-7.0104,-102.3900959
-6.4262,-92.66480551
-5.8801,-82.35823572
-5.3086,-72.81120998
-4.7117,-63.2784963
-4.1275,-53.92572402
-3.5179,-43.18927756
-2.9337,-33.36817597
-2.3241,-22.45516777
-1.7526,-12.2626043
-1.2319,-2.968236683
-0.8001,6.276621546
-0.2286,15.07563427
0.3429,25.17707513
0.9271,36.84464129
1.5494,46.92399809
2.1844,56.51664183
2.8194,66.30754178
3.4544,76.65600257
4.0894,85.32759575
4.7117,94.19398943
5.3467,103.2425483
5.969,112.7506139
6.5786,121.8094287
7.2263,131.9532689
7.8613,140.1690956
8.4455,149.999227
9.1059,160.0405434
9.7028,169.3899889
10.287,178.731171
10.6172,185.722094
11.4173,198.4798812
12.0269,208.0366914
12.6238,217.5509658
13.2334,227.4759489
13.6779,233.373792
13.9065,231.5669685
13.2842,218.8237513
12.7127,205.6793163
12.1285,192.9074617
11.557,180.9551523
11.0109,169.3419337
10.4521,158.8636015
9.8806,148.0285041
9.3091,136.6435712
8.6995,127.094215
8.0772,114.8157038
7.4549,103.9842979
6.858,93.34395655
6.2357,84.01688637
5.6134,73.674701
5.0038,64.23978785
4.3942,54.81442347
3.7592,44.7615124
3.1496,33.65354047
2.5527,22.64224607
1.9431,11.81669306
1.397,2.075650429
0.9144,-6.032069977
0.4191,-16.54363438
-0.1651,-26.63963772
-0.7747,-36.53639841
-1.3716,-45.69478914
-1.9812,-55.96612139
-2.6162,-65.47570362
-3.2385,-74.43187454
-3.8481,-84.42662565
-4.4704,-93.00557296
-5.0673,-101.8071799
-5.6388,-111.9995824
-6.2103,-119.3232095
-6.7818,-129.1432672
-7.3787,-139.0579189
-7.9756,-148.9483138
-8.5979,-158.8428761
-9.1948,-170.1340023
-9.7917,-178.8320982
-10.3505,-189.9604103
-10.9093,-199.8779128
-11.4427,-209.8196097
-12.0142,-219.3578872
-12.5603,-230.1994823
-13.1445,-240.5018448
-13.7287,-250.704641
-13.8811,-250.9962992
-13.9065,-249.7428914
-13.6144,-242.7666052
-13.1826,-227.2229485
-12.6492,-214.3089784
-12.1158,-206.1442757
-11.5824,-190.6465572
-11.2268,-183.8718139
-10.5156,-167.0470015
-9.9441,-156.0164365
-9.3726,-145.0041241
-8.7757,-132.9622243
-8.1788,-123.4266509
-7.5819,-112.408192
-7.0104,-102.4940829
-6.4262,-92.66961326
-5.842,-82.66105265
-5.2705,-73.30009253
-4.6863,-64.40439872
-4.0894,-55.51394851
-3.4798,-45.43897339
-2.9083,-34.49694124
-2.2733,-24.42838342
-1.6891,-14.42897088
-1.1557,-4.586898882
-0.6858,3.339311666
-0.0254,11.81245015
0.4318,22.71633564
1.6256,45.11884234
2.8448,64.53361638
4.1148,83.45942338
5.3975,100.5145274
6.6167,118.9103347
7.9248,137.0776117
9.1694,157.5991861
10.3378,175.7622869
11.4935,194.8344611
12.6873,214.6532772
13.9192,234.7136681
15.2019,252.3218721
